iso3,record,start,end,season,basis
MRT,CERF 2011 Rapid Response $4.0M,2011-06-01,2011-09-28,2011,overlap
MRT,CERF 2015 Rapid Response $2.5M,2014-07-01,2015-08-28,2014,overlap
MRT,CERF 2018 Rapid Response $4.0M,2017-06-01,2017-09-28,2017,overlap
MRT,CERF 2020 Underfunded Emergencies $6.0M (undated),2020-01-01,,2019,undated: last-season-before-impact
MRT,CERF 2026 Rapid Response $2.5M,2026-07-01,2026-09-28,2026,overlap
MRT,EM-DAT 2001-9409-MRT (1000000 affected),2001-04-01,2003-12-28,2000,last-season-before-impact
MRT,EM-DAT 2010-9292-MRT (838000 affected),2010-01-01,2011-12-28,2009,last-season-before-impact
MRT,EM-DAT 2011-9662-MRT (723000 affected),2011-01-01,2012-12-28,2010,last-season-before-impact
MRT,EM-DAT 2017-9343-MRT (3893774 affected),2017-04-01,2017-08-28,2016,last-season-before-impact
MRT,EM-DAT 2018-9469-MRT (350600 affected),2018-03-01,2019-12-28,2017,last-season-before-impact
MRT,EM-DAT 2020-9538-MRT (1400000 affected),2020-06-01,2022-11-28,2019,last-season-before-impact
NER,CERF 2008 Rapid Response $2.0M (undated),2008-01-01,,2007,undated: last-season-before-impact
NER,CERF 2010 Underfunded Emergencies $6.0M (undated),2010-01-01,,2009,undated: last-season-before-impact
NER,CERF 2010 Rapid Response $15.0M,2009-06-01,2009-09-28,2009,overlap
NER,CERF 2010 Rapid Response $14.0M,2009-06-01,2009-09-28,2009,overlap
NER,CERF 2011 Rapid Response $6.0M,2011-06-01,2011-09-28,2011,overlap
NER,CERF 2012 Rapid Response $15.9M,2011-06-01,2011-09-28,2011,overlap
NER,CERF 2022 Rapid Response $9.5M,2022-06-01,2022-07-28,2022,overlap
NER,CERF 2022 Underfunded Emergencies $10.0M (undated),2022-01-01,,2021,undated: last-season-before-impact
NER,EM-DAT 2001-9044-NER (3584558 affected),2001-04-01,2002-12-28,2000,last-season-before-impact
NER,EM-DAT 2005-9362-NER (3000000 affected),2005-07-01,2006-07-28,2004,last-season-before-impact
NER,EM-DAT 2009-9651-NER (7900000 affected),2009-09-01,2010-03-28,2009,last-season-before-impact
NER,EM-DAT 2011-9529-NER (3000000 affected),2011-01-01,2012-12-28,2010,last-season-before-impact
NER,EM-DAT 2015-9166-NER (2588128 affected),2015-04-01,2017-03-28,2014,last-season-before-impact
NER,EM-DAT 2017-9208-NER (1131300 affected),2017-05-01,2017-06-28,2016,last-season-before-impact
NER,EM-DAT 2020-9570-NER (3700000 affected),2020-01-01,2020-12-28,2019,last-season-before-impact
NER,EM-DAT 2022-9254-NER (4400000 affected),2022-01-01,2022-05-28,2021,last-season-before-impact
TCD,CERF 2010 Rapid Response $3.8M,2009-06-01,2009-09-28,2009,overlap
TCD,CERF 2011 Rapid Response $6.0M,2011-06-01,2011-09-28,2011,overlap
TCD,CERF 2018 Rapid Response $10.2M,2017-06-01,2017-10-28,2017,overlap
TCD,CERF 2026 Rapid Response $4.4M,2026-07-01,2026-09-28,2026,overlap
TCD,EM-DAT 2001-9044-TCD (800000 affected),2001-01-01,2001-12-28,2000,last-season-before-impact
TCD,EM-DAT 2009-9654-TCD (2400000 affected),2009-12-01,2010-07-28,2009,last-season-before-impact
TCD,EM-DAT 2012-9160-TCD (1600000 affected),2012-06-01,2013-02-28,2011,last-season-before-impact
TCD,EM-DAT 2017-9342-TCD (1886800 affected),2017-03-01,2017-05-28,2016,last-season-before-impact
TCD,EM-DAT 2022-9335-TCD (2135362 affected),2022-06-01,2022-08-28,2021,last-season-before-impact
